Paper.name,Accession_number,Bacterial.name..Found.of.Species.finder.,NUMBER,Bacterial.name..written.in.paper.
"Whole-genome sequencing of Pseudomonas sp. TAE6080, a strain capable of inhibiting Staphylococcus epidermidis biofilm",JAHIDY000000000,Pseudomonas sp. OV577,1,Pseudomonas sp. TAE6080.
Comparative Genomic Analyses of the Genus Nesterenkonia Unravels the Genomic Adaptation to Polar Extreme Environments,JAJOYW000000000, Nesterenkonia sp AN1,1, Nesterenkonia
,JAJOYX000000000, Nesterenkonia sandarakina,1, Nesterenkonia
"Arthrobacter vasquezii sp. nov., isolated from a soil sample from Union Glacier, Antarctica",JAROKN000000000,Arthrobacter sp. L134,1,Arthrobacter vasquezii 
Rhodococcus indonesiensis sp. nov. a new member of the Rhodococcus ruber lineage isolated from sediment of a neutral hot spring and reclassification of Rhodococcus electrodiphilus (Ramaprasad et al. 2018) as a later heterotypic synonym of Rhodococcus ruber (Kruse 1896) Goodfellow and Alderson 1977 (Approved Lists 1980),JAUBOF000000000,Rhodococcus sp RS-R2,1,Rhodococcus indonesiensis
Pervasiveness of UVC254-resistant Geobacillus strains in extreme environments,NADP00000000,Bacillus sp NBY16,1,Geobacillus
,NADS00000000,Unidentified ,11,Geobacillus
,NAGD00000000,Unidentified ,11,Geobacillus
,NAGF00000000,Bacillus Coagulans,1,Geobacillus
,PIJF00000000,Unidentified ,11,Geobacillus
,PIJH00000000,Geobacillus Thermodenitrificans,1,Geobacillus
"Arthrobacter ruber sp. nov., isolated from glacier ice",PPTH00000000,Uncultured Actinobacterium,1,Arthrobacter ruber
,PRKW00000000,Uncultured ,1,Arthrobacter ruber
,PRKX00000000,Arthrobacter agilis,1,Arthrobacter ruber
A thermophilic chemolithoautotrophic bacterial consortium suggests a mutual relationship between bacteria in extreme oligotrophic environments,PQID00000000,Streptomyces Thermoautotrophicus,1,chemolithoautotrophic
"Genomic adaptation of Pseudomonas strains to acidity and antibiotics in hydrothermal vents at Kolumbo submarine volcano, Greece",PRJNA579073A,Pseudomonas Stutzeri,1,Pseudomonas
,PRJNA579073B,Pseudomonas Aeruginosa,7,Pseudomonas
,PRJNA579073C, Pseudomonas Balearica,2,Pseudomonas
,PRJNA579073D,Pseudomonas Aeruginosa,7,Pseudomonas
,PRJNA579073E,Pseudomonas Aeruginosa,7,Pseudomonas
,PRJNA579073F,Psedomonas Stutzeri A1501,1,Pseudomonas
,PRJNA579073G,Pseudomonas Aeruginosa,7,Pseudomonas
,PRJNA579073H,  Pseudomonas Strutzeri,3,Pseudomonas
,PRJNA579073I,  Psedomonas Strutzeri NF13,1,Pseudomonas
,PRJNA579073J,  Psedomonas Strutzeri A1501,1,Pseudomonas
,PRJNA579073K, Pseudomonas Balearica,2,Pseudomonas
,PRJNA579073L,  Pseudomonas Strutzeri,3,Pseudomonas
,PRJNA579073M,Pseudomonas Strutzeri,1,Pseudomonas
,PRJNA579073N,Pseudomonas Aeruginosa,7,Pseudomonas
,PRJNA579073O,Pseudomonas Aeruginosa,7,Pseudomonas
,PRJNA579073P, Pseudomonas Aeruginosa VRFPA07,1,Pseudomonas
,PRJNA579073Q, Pseudomonas Balearica DSM 6083,1,Pseudomonas
,PRJNA579073R, Pseudomonas Strutzeri A1501,4,Pseudomonas
,PRJNA579073S, Pseudomonas Strutzeri A1501,4,Pseudomonas
,PRJNA579073T, Pseudomonas Strutzeri A1501,4,Pseudomonas
,PRJNA579073U, Pseudomonas Strutzeri A1501,4,Pseudomonas
,PRJNA579073W,  Pseudomonas Strutzeri,3,Pseudomonas
Whole genome sequencing of four bacterial strains from South Shetland Trench revealing biosynthetic and environmental adaptation gene clusters,QNTT00000000,Pseudomonas zhaodongensis,1,"Dietzia maris SST1, Pseudomonas zhaodongensis SST2, Pseudomonas sp. SST3 and Halomonas sulfidaeris SST4"
,QNTU00000000,Halomonas sp JB37,1,"Dietzia maris SST1, Pseudomonas zhaodongensis SST2, Pseudomonas sp. SST3 and Halomonas sulfidaeris SST4"
,QNTV00000000,Dietzia Alimentaria,2,"Dietzia maris SST1, Pseudomonas zhaodongensis SST2, Pseudomonas sp. SST3 and Halomonas sulfidaeris SST4"
,QORI02000000,Pseudomonas Flurescens,1,"Dietzia maris SST1, Pseudomonas zhaodongensis SST2, Pseudomonas sp. SST3 and Halomonas sulfidaeris SST4"
Bacterial diversity in 110 thermal hot springs of Indian Himalayan Region (IHR),QREZ00000000,Uncultured compost bacterium,1,-
The genome of Bacillus coahuilensis reveals adaptations essential for survival in the relic of an ancient marine environment,  ABFU01000000,Bacillus coahuilensis,1,Bacillus coahuilensis
"Complete genome sequence of Flavobacterium arcticum SM1502T, exhibiting adaption to the Arctic marine salty environment",AUGP01000000, Flavobacterium subaxonicum,1, Flavobacterium arcticum 
"Complete genome sequencing and comparative genomic analyses of Bacillus sp. S3, a novel hyper Sb(III)-oxidizing bacterium",CP039727,Bacillus sp. L75,1,Bacillus sp. S3
The genome of the extremophile Artemia provides insight into strategies to cope with extreme environments,JAGUUB01,Hepatocystis sp PP1,1,Artemia
"Staphylococcus edaphicus sp. nov., Isolated in Antarctica, Harbors the mecC Gene and Genomic Islands with a Suspected Role in Adaptation to Extreme Environments",MRZN00000000,Staphylococcus aureus,1,Staphylococcus edaphicus
,MRZO00000000,Staphylococcus aureus sub sp. Aureus tager 104,1,Staphylococcus edaphicus
"The Complete Genome Sequence of Cupriavidus metallidurans Strain CH34, a Master Survivalist in Harsh and Anthropogenic Environments", NC_007971,Not found,16,Cupriavidus metallidurans Strain CH34
, NC_007973,Cupriavidus Plantarum,2,Cupriavidus metallidurans Strain CH34
, NC_007974,Cupriavidus Plantarum,2,Cupriavidus metallidurans Strain CH34
Complete genome sequence of Arthrobacter sp. PAMC25564 and its comparative genome analysis for elucidating the role of CAZymes in cold adaptation,NZ_CP007595,Arthrobacter sp. PAMC25486,1,Arthrobacter sp. PAMC25564
,NZ_CP012479,Arthrobacter sp. ERGS1.01,1,Arthrobacter sp. PAMC25564
, NZ_CP012677,Arthrobacter alpinus,6,Arthrobacter sp. PAMC25564
,NZ_CP013200,Arthrobacter alpinus,6,Arthrobacter sp. PAMC25564
,NZ_CP013297,Arthrobacter sp. YC-RL1,2,Arthrobacter sp. PAMC25564
,NZ_CP013745,Arthrobacter alpinus,6,Arthrobacter sp. PAMC25564
, NZ_CP013747,Arthrobacter sp,2,Arthrobacter sp. PAMC25564
,NZ_CP014196,Arthrobacter sp,2,Arthrobacter sp. PAMC25564
,NZ_CP015732,Arthrobacter sp U41,1,Arthrobacter sp. PAMC25564
,NZ_CP017421,Arthrobacter sp PSB94,1,Arthrobacter sp. PAMC25564
, NZ_CP019304,Arthrobacter sp QXT-31,1,Arthrobacter sp. PAMC25564
, NZ_CP019304,Pseudoartherobacter Phenanthrenivorans,1,Arthrobacter sp. PAMC25564
,NZ_CP029642,Arthrobacter sp DCT-5,1,Arthrobacter sp. PAMC25564
,NZ_CP040018,Arthrobacter Oxyzae,1,Arthrobacter sp. PAMC25564
,NZ_CP040174,Uncultured bacterium,11,Arthrobacter sp. PAMC25564
,NZ_CP042172,Arthrobacter sp.,4,Arthrobacter sp. PAMC25564
Cold-adapted Bacilli isolated from the Qinghai–Tibetan Plateau are able to promote plant growth in extreme environments,PVME00000000/PVME01,Bacillus Pumilus,21, Bacilli 
,PVQJ00000000/PVQJ01,Bacillus Muralis,1, Bacilli 
, PVQK00000000/ PVQK01,Bacillus Pumilus,21, Bacilli 
,PVQL00000000/PVQL01,Bacillus Pumilus,21, Bacilli 
,PVQM0000000/PVQM01`,Baciilus Sublilis,1, Bacilli 
,PVQN0000000/PVQN01,Bacillus sp (in bacteria),10, Bacilli 
,PVQO0000000/PVQO01,Bacillus sp (in bacteria),10, Bacilli 
,PVQP0000000/PVQP01,Bacillus sp (in bacteria),10, Bacilli 
,PVQQ000000/PVQQ01,Bacillus sp (in bacteria),10, Bacilli 
,PVQR000000/PVQR01,Bacillus Paralicheniformis,1, Bacilli 
,PVQS000000/PVQS01,Bacillus Pumilus,21, Bacilli 
,PVQT000000/PVQT01,Bacillus Pumilus,21, Bacilli 
,PVQU000000/PVQU01,Bacillus Pumilus,21, Bacilli 
,PVQW000000/PVQW01,Bacillus Pumilus,21, Bacilli 
,PQX000000/PVQX01,Bacillus Pumilus,21, Bacilli 
,PVQY000000/PVQY01,Bacillus Pumilus,21, Bacilli 
,PVQZ000000/PVQZ01,Bacillus Pumilus,21, Bacilli 
,PVRA00000000,Bacillus Pumilus,21, Bacilli 
,PVRB00000000,Bacillus Pumilus,21, Bacilli 
,PVRC00000000,Bacillus Pumilus,21, Bacilli 
,PVRD00000000,Bacillus Pumilus,21, Bacilli 
,PVRE00000000,Bacillus Pumilus,21, Bacilli 
,PVRF00000000,Bacillus Pumilus,21, Bacilli 
,PVRG00000000,Bacillus Pumilus,21, Bacilli 
,PVRH00000000,Bacillus Pumilus,21, Bacilli 
,PVRI00000000,Bacillus Pumilus,21, Bacilli 
,PVRJ00000000,Bacillus Veiezensis Variant Polyfermenticus,3, Bacilli 
,PVRK00000000,Bacillus Veiezensis Variant Polyfermenticus,3, Bacilli 
,PVRL00000000,Bacillus sp (in bacteria),10, Bacilli 
,PVRIM0000000,Streptococcus pneumoniae,1, Bacilli 
,PVRIN00000000,Bacillus Thurenginsis,2, Bacilli 
,PVRO00000000,Bacillus Veiezensis Variant Polyfermenticus,3, Bacilli 
,PVRP00000000,Bacillus sp (in bacteria),10, Bacilli 
,PVRQ00000000,Bacillus Thurenginsis,2, Bacilli 
,PVRR00000000,Bacillus sp (in bacteria),10, Bacilli 
,PVRS00000000,Bacillus Cereus,4, Bacilli 
,PVRT00000000,Bacillus Cereus,4, Bacilli 
,PVRU00000000,Bacillus Cereus,4, Bacilli 
,PVWA0000000,Bacillus sp (in bacteria),10, Bacilli 
,PVWB0000000,Bacillus sp (in bacteria),10, Bacilli 
,PVWC0000000,Bacillus sp (in bacteria),10, Bacilli 
,PVWX0000000,Bacillus Pumilus,21, Bacilli 
,PVWY0000000,Bacillus Pumilus,21, Bacilli 
,PVWP0000000,Bacillus cereus,4, Bacilli 
Genome sequences of two Antarctic strains of Pseudomonas prosekii: insights into adaptation to extreme conditions,QFAV00000000,Pseudomonas Fluorescens,1,Pseudomonas prosekii
,QFAW00000000,Pseudomonas Syringae pv. Pisi,2,Pseudomonas prosekii
"Whole genome sequence analysis of Cupriavidus campinensis S14E4C, a heavy metal resistant bacterium",VCIZ01000000,Ralstonia sp T6,1,Cupriavidus campinensis S14E4C
"Antarctic desert soil bacteria exhibit high novel natural product potential, evaluated through long-read genome sequencing and comparative genomics",VUOG00000000,Novosphingobium sp. MG37,1,
,VUOH00000000,Quadrisphaera sp THG-DM1,1,
,VUOI00000000,Uncultured Azospirillum sp,1,
,VUOJ00000000,Unidentified ,11,
"Description of Massilia rubra sp. nov., Massilia aquatica sp. nov., Massilia mucilaginosa sp. nov., Massilia frigida sp. nov., and one Massilia genomospecies isolated from Antarctic streams, lakes and regoliths",AGZI00000000,Massilia Timonae CCUG 45783,1,"Massilia rubra sp. nov. , Massilia aquatica sp. nov., Massilia mucilaginosa sp. nov., Massilia frigida sp. Nov"
,FPBO00000000,Massilia Namucuonensis,1,"Massilia rubra sp. nov. , Massilia aquatica sp. nov., Massilia mucilaginosa sp. nov., Massilia frigida sp. Nov"
,JSAB00000000,Massilia sp. GEM(5),1,"Massilia rubra sp. nov. , Massilia aquatica sp. nov., Massilia mucilaginosa sp. nov., Massilia frigida sp. Nov"
,PDOB00000000,Massilia Psychrophile,1,"Massilia rubra sp. nov. , Massilia aquatica sp. nov., Massilia mucilaginosa sp. nov., Massilia frigida sp. Nov"
,PDOC00000000,Massilia Eurypsychrophila,1,"Massilia rubra sp. nov. , Massilia aquatica sp. nov., Massilia mucilaginosa sp. nov., Massilia frigida sp. Nov"
,PXWF00000000,Massilia Glaciei,1,"Massilia rubra sp. nov. , Massilia aquatica sp. nov., Massilia mucilaginosa sp. nov., Massilia frigida sp. Nov"
,RXLQ00000000,Massilia sp,1,"Massilia rubra sp. nov. , Massilia aquatica sp. nov., Massilia mucilaginosa sp. nov., Massilia frigida sp. Nov"
Experimental Evolution of Enhanced Growth by Bacillus subtilis at Low Atmospheric Pressure: Genomic Changes Revealed by Whole-Genome Sequencing,AL009126,Bacillus Subtilis,2,Bacillus subtilis
"Antarctic desert soil bacteria exhibit high novel natural product potential, evaluated through long-read genome sequencing and comparative genomics",AL645882,Streptomyces Albidoflavus,1,
,AP009493,Streptomyces Europaeiscabiei,1,
,BA000030,Unidentified ,11,
,CP024894,Amycolatopsis sp. AA4,1,
,NC_020990,Strptomyces Albus,1,
Analysis of the probiotic characteristics and adaptability of Lactiplantibacillus plantarum DMDL 9010 to gastrointestinal environment by complete genome sequencing and corresponding phenotypes,AL935263,Lactobacillus Plantarum,6,Lactiplantibacillus plantarum DMDL 9010
,CP016071,Lactobacillus Plantarum,6,Lactiplantibacillus plantarum DMDL 9010
"Physiological and genomic properties of Thermus tenuipuniceus sp. nov., a novel slight reddish color member isolated from a terrestrial geothermal spring",ARLD00000000,Thermus Scotoductus SA-01,4,Thermus tenuipuniceus sp. Nov
,JQLK00000000,Thermus Scotoductus SA-02,1,Thermus tenuipuniceus sp. Nov
,JQMV01000000,Thermus Amyloliquefaciens,1,Thermus tenuipuniceus sp. Nov
,JQNC00000000,Thermus Caliditerrae,1,Thermus tenuipuniceus sp. Nov
,PRDA00000000,Thermus sp. YIM 76954,1,Thermus tenuipuniceus sp. Nov
,QGMX00000000,Thermus Caldifontis,2,Thermus tenuipuniceus sp. Nov
,MASQ00000000,Uncultured Bacterium,11,Acidithiobacillus ferrivorans XJFY6S-08
"Metabologenomics analysis of Pseudomonas sp. So3.2b, an Antarctic strain with bioactivity against Rhizoctonia solani",CP080494,Pseudomonas sp OV 577,1,Pseudomonas sp. So3.2b
"Streptomyces qaidamensis sp. nov., isolated from sand in the Qaidam Basin, China",CP015098,Streptomyces Qaidamensis,1,Streptomyces qaidamensis sp. Nov
The complete genome sequence of Colwellia sp. NB097-1 reveals evidence for the potential genetic basis for its adaptation to cold environment, CP020465,Colwellia sp. PAMC 21821,1, Colwellia sp. NB097-1
"Metabologenomics analysis of Pseudomonas sp. So3.2b, an Antarctic strain with bioactivity against Rhizoctonia solani",CP080494,Pseudomonas sp OV577,1,Pseudomonas sp. So3.2b
Polyhydroxyalkanoate (PHA) synthase genes and PHA-associated gene clusters in Pseudomonas spp. and Janthinobacterium spp. isolated from Antarctica,PRJEB15092/FMDA01,Pseudomonas Frederiksbergensis,1, Pseudomonas spp. and Janthinobacterium spp
,PRJEB15092/FMDB01,Pseudomonas Syringae pv. Pisi,2, Pseudomonas spp. and Janthinobacterium spp
,PRJEB15092/FMDC01,Janthinobacterium Lividum,1, Pseudomonas spp. and Janthinobacterium spp
,PRJEB15092/FMDD01,Oxalobacteraceae bacterium AB-7,1, Pseudomonas spp. and Janthinobacterium spp
"Micromonospora thermarum sp. nov., an actinobacterium isolated from hot spring soil", NZ_JAATEO000000000/JAATE001,Micromonospora sp HSS 6-12,1,Micromonospora thermarum 
Genomic Characterization of Potential Plant Growth-Promoting Features of Sphingomonas Strains Isolated from the International Space Station,JABEOW000000000, Sphingomonas sp EM0335,1, Sphingomonas
,JABEOV000000000, Sphingomonas sp EM0336,1, Sphingomonas
,JABEOU000000000, Sphingomonas sp JL3,1, Sphingomonas
,JABYQV000000000, Sphingomonas Sanguinis,1, Sphingomonas
"Genetic and Comparative Genome Analysis of Exiguobacterium aurantiacum SW-20, a Petroleum-Degrading Bacteria with Salt Tolerance and Heavy Metal-Tolerance Isolated from Produced Water of Changqing Oilfield, China",JAHXHC000000000,Misgurnus Anguillicaudatus (Oriental Weatherfish),1,Exiguobacterium aurantiacum SW-20
New cyanobacterial genus Argonema is hiding in soil crusts around the world,JAIQZM000000000,Uncultured Bacterium,11,Argonema 
,JAIQZN000000000,Hassalia Byssoidea CCALA841,1,Argonema 
"Description of five novel thermophilic species of the genus Thermus: Thermus hydrothermalis sp. nov., Thermus neutrinimicus sp. nov., Thermus thalpophilus sp. nov., Thermus albus sp. nov., and Thermus altitudinis sp. nov., isolated from hot spring sediments",JAKTNQ000000000,Thermus Scotoductus SA-01,4,"Thermus hydrothermalis sp. nov., Thermus neutrinimicus sp. nov., Thermus thalpophilus sp. nov., Thermus albus sp. nov., and Thermus altitudinis sp. Nov"
,JAKTNR000000000,Thermus Caldifontis,2,"Thermus hydrothermalis sp. nov., Thermus neutrinimicus sp. nov., Thermus thalpophilus sp. nov., Thermus albus sp. nov., and Thermus altitudinis sp. Nov"
,JAKTNS000000000,Thermus sp. RH-0401,1,"Thermus hydrothermalis sp. nov., Thermus neutrinimicus sp. nov., Thermus thalpophilus sp. nov., Thermus albus sp. nov., and Thermus altitudinis sp. Nov"
,JAKTNT000000000,Thermus sp.,1,"Thermus hydrothermalis sp. nov., Thermus neutrinimicus sp. nov., Thermus thalpophilus sp. nov., Thermus albus sp. nov., and Thermus altitudinis sp. Nov"
,JAKTNU000000000,Thermus scotoductus,1,"Thermus hydrothermalis sp. nov., Thermus neutrinimicus sp. nov., Thermus thalpophilus sp. nov., Thermus albus sp. nov., and Thermus altitudinis sp. Nov"
,JANQBK000000000,,0,
Genomic and phenotypic characterization of a red-pigmented strain of Massilia frigida isolated from an Antarctic microbial mat,JAQOZV000000000,Masisilia sp. TMT4-26-3,1,Massilia frigida 
Phylogenetic affiliations and genomic characterization of novel bacterial species and their abundance in the International Space Station,JAROCB000000000,Leifsonia sp. SaPR11,1,
,JAROCC000000000,Sporosarcina Luteola,1,
,JAROCD000000000,Unidentified ,11,
, JAROCF000000000,Leifsonia Shinshuensis,2,
,JAROCG000000000,Unidentified ,11,
,JARUHI000000000,Leifsonia Shinshuensis,2,
"Whole-Genome Optical Mapping and Finished Genome Sequence of Sphingobacterium deserti sp. nov., a New Species Isolated from the Western Desert of China",JJMU00000000,Sphingobacterium Gobiense,1,Sphingobacterium deserti sp. Nov
"Anoxybacillus karvacharensis sp. nov., a novel thermophilic bacterium isolated from the Karvachar geothermal spring in Nagorno-Karabakh",MQAD00000000,Anoxybacillus Flavithermus,1,Anoxybacillus karvacharensis sp. Nov
Characterization of Aspergillus niger Isolated from the International Space Station,PRJNA355122/ MSJD01,Schizocoerus Liguloideus,7,Aspergillus niger
,PRJNA355122/ MSJE01,Schizocoerus Liguloideus,7,Aspergillus niger
,PRJNA355122/ MSJF01,Schizocoerus Liguloideus,7,Aspergillus niger
,PRJNA355122/ MSJG02,Schizocoerus Liguloideus,7,Aspergillus niger
,PRJNA355122/ MSJH02,Schizocoerus Liguloideus,7,Aspergillus niger
,PRJNA355122/ MSJI02,Schizocoerus Liguloideus,7,Aspergillus niger
,PRJNA355122/ MSJJ02,Schizocoerus Liguloideus,7,Aspergillus niger
,PRJNA355122/ MSJK01,Trichoderma Gamsii,1,Aspergillus niger
Molecular characterization of stress tolerance genes associated with D. indicus strain under extreme environment conditions,NHMK00000000,Deinococcus Aquaticus,1,D. indicus
Inspecting the genome sequence and agarases of Microbulbifer pacificus LD25 from a saltwater hot spring,PREV01000000,Microbulbifer pacificus ,1,Microbulbifer pacificus LD25
"Rhodobacter flagellatus sp. nov., a thermophilic bacterium isolated from a hot spring",VMDU00000000,Uncultured Rhodobacter sp.,1,Rhodobacter flagellatus sp. Nov
"Calorimonas adulescens gen. nov., sp. nov., an anaerobic thermophilic bacterium utilizing methoxylated benzoates",VTPS00000000,Uncultured Caloribacterium sp.,1,Calorimonas adulescens gen. nov
"Genome Sequence of Sphingomonas sp. S17, Isolated from an Alkaline, Hyperarsenic, and Hypersaline Volcano-Associated Lake at High Altitude in the Argentinean Puna",AFGG01000000,Sphingomonas sp. JL3,1, Sphingomonas sp. S17
"Genomic analysis reveals the biotechnological and industrial potential of levan producing halophilic extremophile, Halomonas smyrnensis AAD6T",AJKS00000000,Halomonas smyrnensis AAD6,1, Halomonas smyrnensis AAD6T
,AVCO01000000,Rhodococcus sp. OK551,1,Rhodococcus erythropolis Strain P27
Complete genome sequence of Arthrobacter sp. PAMC25564 and comparative genome analysis for elucidating the role of CAZymes in cold adaptation,AP014718,Arthrobacter sp.,4,Arthrobacter sp. PAMC25564
,NZ_CP03929,Pseudarthrobacter sulfonivorans,1,Arthrobacter sp. PAMC25564
,NZ_CP040018,Arthrobacter oryzae,1,Arthrobacter sp. PAMC25564
, NZ_CP022436,Arthrobacter sp. YN,1,Arthrobacter sp. PAMC25564
, NC_018531,Arthrobacter sp. Rue61a,1,Arthrobacter sp. PAMC25564
,NC_008541.1,actinobacterium MES16,1,Arthrobacter sp. PAMC25564
, NZ_CP026514.1,Pseudarthrobacter phenanthrenivorans,2,Arthrobacter sp. PAMC25564
,NZ_CP013297,Arthrobacter sp. YC-RL1,2,Arthrobacter sp. PAMC25564
,NZ_CP012479,Arthrobacter sp. ERGS1:01,2,Arthrobacter sp. PAMC25564
,NZ_CP042172,Arthrobacter sp.,4,Arthrobacter sp. PAMC25564
, NZ_CP014196,Arthrobacter sp. PSB94,2,Arthrobacter sp. PAMC25564
, NZ_CP018863.,Arthrobacter crystallopoietes,1,Arthrobacter sp. PAMC25564
,NZ_CP012677,,0,Arthrobacter sp. PAMC25564
,NZ_CP013200,Arthrobacter alpinus,6,Arthrobacter sp. PAMC25564
,NZ_CP013745,Arthrobacter alpinus,6,Arthrobacter sp. PAMC25564
,NC_015145.1,Pseudarthrobacter phenanthrenivorans,2,Arthrobacter sp. PAMC25564
,NC_011886.1,Pseudarthrobacter chlorophenolicus A6,1,Arthrobacter sp. PAMC25564
, NZ_CP013747.1,Arthrobacter sp.,4,Arthrobacter sp. PAMC25583
Whole genome-scale assessment of gene fitness of Novosphingobium aromaticavorans during spaceflight,CP000248,unidentified,2, Novosphingobium aromaticavorans
,CP000676,Not Found,16, Novosphingobium aromaticavorans
,CP000677,,0, Novosphingobium aromaticavorans
Complete genome sequence data of Priestia megaterium strain MARUCO02 isolated from marine mangrove-inhabited sediments of the Indian Ocean in the Bagamoyo Coast,CP107543,,0,Priestia megaterium strain MARUCO02
,CP001982,Bacillus megaterium,5,Priestia megaterium strain MARUCO02
,CP001983,Bacillus megaterium,5,Priestia megaterium strain MARUCO02
,CP009920,Bacillus megaterium,5,Priestia megaterium strain MARUCO02
,CP032527,Bacillus megaterium,5,Priestia megaterium strain MARUCO02
Complete genome sequence of Lutibacter profundi LP1T isolated from an Arctic deep-sea hydrothermal vent system, CP013355,Lutibacter profundi,1, Lutibacter profundi LP1T
Complete genome sequence of Deinococcus rubellus Ant6 isolated from the fish muscle in the Antarctic Ocean,CP104213,Deinococcus sp. Ant6,1, Deinococcus rubellus Ant6
"Hymenobacter terrestris sp. nov. and Hymenobacter lapidiphilus sp. nov., isolated from regoliths in Antarctica ",JABKAU010000000,"Species	Match	Confidence of result
Hymenobacter sp. R-36215",1,Hymenobacter terrestris sp. nov. and Hymenobacter lapidiphilus sp. Nov
,JABKAV010000000,Hymenobacter sp. CCM 8763,1,Hymenobacter terrestris sp. nov. and Hymenobacter lapidiphilus sp. nov
"Frigoriflavimonas asaccharolytica gen. nov., sp. nov., a novel psychrophilic esterase and protease producing bacterium isolated from Antarctica",JABSNO000000000.1,Chryseobacterium antarcticum,1,Frigoriflavimonas asaccharolytica gen. nov
Classification of a Violacein-Producing Psychrophilic Group of Isolates Associated with Freshwater in Antarctica and Description of Rugamonas violacea sp. Nov,JAEMNU000000000,Herbaspirillum sp. F1,1,Rugamonas violacea sp. Nov
"Description and genome analysis of Microvirga antarctica sp. nov., a novel pink-pigmented psychrotolerant bacterium isolated from Antarctic soil",JAGEMM000000000,alpha proteobacterium R-39199,1, Microvirga antarctica sp. Nov
Genomic characterization and radiation tolerance of Naganishia kalamii sp. nov. and Cystobasidium onofrii sp. nov. from Mars 2020 mission assembly facilities,JAKLLX000000000,Naganishia albida,1,Naganishia kalamii sp. nov. and Cystobasidium onofrii sp. Nov
,JAKLNA000000000,uncultured Basidiomycota,1,Naganishia kalamii sp. nov. and Cystobasidium onofrii sp. nov
Genomic analysis of a halophilic bacterium Nesterenkonia sp. CL21 with ability to produce a diverse group of lignocellulolytic enzymes,JAUTWR000000000,Nesterenkonia sp. YIM 90721,1,Nesterenkonia sp. CL21
"High-quality draft genome sequence of Pseudomonas aeruginosa san ai, an environmental isolate resistant to heavy metals",JMKR00000000,Pseudomonas aeruginosa,7, Pseudomonas aeruginosa san a
"Amycolatopsis antarctica sp. nov., isolated from the surface of an Antarctic brown macroalga ",NKYE01000000,Amycolatopsis sp. AU-G6,1,Amycolatopsis antarctica sp. Nov
Whole genome sequencing of four bacterial strains from South Shetland Trench revealing biosynthetic and environmental adaptation gene clusters,QNTT01000000,Dietzia alimentaria,2,
,QNTU01000000,Halomonas sp. JB37,1,
